j2p_over_j1,sector_index,n,m,source_qa,source_qb,sector_dimension,sector_energy_total,delta_energy_to_gs
0.6,1,1,5,0,1,225264,-10.297450175729713,0.1857871863392404
0.6,2,2,4,0,2,225570,-10.41877409328042,0.0644632687885327
0.6,3,3,3,0,3,225280,-10.344056903626905,0.1391804584420484
0.6,4,4,2,0,4,225570,-10.418774093280927,0.06446326878802644
0.6,5,5,1,0,5,225264,-10.297450175729315,0.1857871863396383
0.6,6,3,0,1,0,225280,-10.344056903627214,0.13918045844173932
0.6,7,4,5,1,1,225264,-10.29745017572952,0.18578718633943403
0.6,8,5,4,1,2,225264,-10.297450175729626,0.18578718633932745
0.6,9,0,3,1,3,225280,-10.344056903627175,0.1391804584417784
0.6,10,1,2,1,4,225264,-10.297450175729479,0.18578718633947489
0.6,11,2,1,1,5,225264,-10.29745017572942,0.1857871863395335
0.65,0,0,0,0,0,225592,-10.443368161646957,0.0
0.65,1,1,5,0,1,225264,-10.310044701223724,0.13332346042323273
0.65,2,2,4,0,2,225570,-10.42715916691771,0.016208994729247195
0.65,3,3,3,0,3,225280,-10.356816571717582,0.08655158992937473
0.65,4,4,2,0,4,225570,-10.427159166917855,0.016208994729101533
0.65,5,5,1,0,5,225264,-10.310044701224482,0.13332346042247423
0.65,6,3,0,1,0,225280,-10.356816571716807,0.08655158993014922
0.65,7,4,5,1,1,225264,-10.310044701224761,0.13332346042219534
0.65,8,5,4,1,2,225264,-10.31004470122389,0.13332346042306753
0.65,9,0,3,1,3,225280,-10.35681657171708,0.08655158992987744
0.65,10,1,2,1,4,225264,-10.310044701223987,0.13332346042296983
0.65,11,2,1,1,5,225264,-10.310044701224134,0.1333234604228224
0.66,0,0,0,0,0,225592,-10.440786571501084,0.0
0.66,1,1,5,0,1,225264,-10.315942306113739,0.12484426538734539
0.66,2,2,4,0,2,225570,-10.431069258366655,0.009717313134428807
0.66,3,3,3,0,3,225280,-10.361914706443635,0.07887186505744914
0.66,4,4,2,0,4,225570,-10.431069258367081,0.009717313134002481
0.66,5,5,1,0,5,225264,-10.315942306114197,0.12484426538688709
0.66,6,3,0,1,0,225280,-10.361914706442906,0.07887186505817745
0.66,7,4,5,1,1,225264,-10.315942306114133,0.12484426538695104
0.66,8,5,4,1,2,225264,-10.315942306113731,0.1248442653873525
0.66,9,0,3,1,3,225280,-10.36191470644374,0.07887186505734434
0.66,10,1,2,1,4,225264,-10.31594230611408,0.12484426538700433
0.66,11,2,1,1,5,225264,-10.315942306113586,0.12484426538749815
0.67,0,0,0,0,0,225592,-10.440038987578365,0.0
0.67,1,1,5,0,1,225264,-10.322969264146233,0.11706972343213273
0.67,2,2,4,0,2,225570,-10.435740688134516,0.004298299443849629
0.67,3,3,3,0,3,225280,-10.367871834415977,0.07216715316238798
0.67,4,4,2,0,4,225570,-10.435740688134711,0.00429829944365423
0.67,5,5,1,0,5,225264,-10.322969264146751,0.11706972343161404
0.67,6,3,0,1,0,225280,-10.367871834415933,0.07216715316243238
0.67,7,4,5,1,1,225264,-10.322969264147156,0.11706972343120903
0.67,8,5,4,1,2,225264,-10.322969264146648,0.11706972343171707
0.67,9,0,3,1,3,225280,-10.367871834416059,0.07216715316230626
0.67,10,1,2,1,4,225264,-10.322969264147535,0.11706972343083066
0.67,11,2,1,1,5,225264,-10.322969264147359,0.11706972343100652
0.68,0,0,0,0,0,225592,-10.441132987250347,4.677364968053155e-05
0.68,1,1,5,0,1,225264,-10.331121678750343,0.11005808214968482
0.68,2,2,4,0,2,225570,-10.44117976089974,2.877698079828406e-13
0.68,3,3,3,0,3,225280,-10.374691351241696,0.0664884096583318
0.68,4,4,2,0,4,225570,-10.441179760900027,0.0
0.68,5,5,1,0,5,225264,-10.331121678750037,0.11005808214999035
0.68,6,3,0,1,0,225280,-10.37469135124143,0.06648840965859826
0.68,7,4,5,1,1,225264,-10.331121678749643,0.1100580821503847
0.68,8,5,4,1,2,225264,-10.331121678749955,0.11005808215007207
0.68,9,0,3,1,3,225280,-10.37469135124178,0.06648840965824654
0.68,10,1,2,1,4,225264,-10.331121678750788,0.11005808214923896
0.68,11,2,1,1,5,225264,-10.331121678750693,0.11005808214933488
0.69,0,0,0,0,0,225592,-10.44406835033843,0.0033238843341631963
0.69,1,1,5,0,1,225264,-10.340392785950968,0.10699944872162526
0.69,2,2,4,0,2,225570,-10.447392234672593,0.0
0.69,3,3,3,0,3,225280,-10.382376205402338,0.06501602927025552
0.69,4,4,2,0,4,225570,-10.447392234672309,2.8421709430404007e-13
0.69,5,5,1,0,5,225264,-10.340392785951298,0.10699944872129485
0.69,6,3,0,1,0,225280,-10.38237620540185,0.06501602927074401
0.69,7,4,5,1,1,225264,-10.340392785951309,0.1069994487212842
0.69,8,5,4,1,2,225264,-10.340392785951266,0.10699944872132683
0.69,9,0,3,1,3,225280,-10.382376205402458,0.06501602927013472
0.69,10,1,2,1,4,225264,-10.340392785952117,0.10699944872047595
0.69,11,2,1,1,5,225264,-10.340392785951313,0.10699944872128064
0.7,0,0,0,0,0,225592,-10.448834930604978,0.005548359613660736
0.7,1,1,5,0,1,225264,-10.35077295959471,0.103610330623928
0.7,2,2,4,0,2,225570,-10.454383290218638,0.0
0.7,3,3,3,0,3,225280,-10.390928966515874,0.06345432370276427
0.7,4,4,2,0,4,225570,-10.454383290218322,3.161915174132446e-13
0.7,5,5,1,0,5,225264,-10.350772959594861,0.103610330623777
0.7,6,3,0,1,0,225280,-10.39092896651605,0.06345432370258841
0.7,7,4,5,1,1,225264,-10.350772959595314,0.10361033062332403
0.7,8,5,4,1,2,225264,-10.350772959595298,0.10361033062334002
0.7,9,0,3,1,3,225280,-10.3909289665161,0.06345432370253867
0.7,10,1,2,1,4,225264,-10.350772959595748,0.1036103306228906
0.7,11,2,1,1,5,225264,-10.350772959595089,0.10361033062354963
0.71,0,0,0,0,0,225592,-10.45541095131937,0.006746551499771769
0.71,1,1,5,0,1,225264,-10.362249831122261,0.0999076716968812
0.71,2,2,4,0,2,225570,-10.462157502818796,3.4638958368304884e-13
0.71,3,3,3,0,3,225280,-10.40035193905284,0.06180556376630264
0.71,4,4,2,0,4,225570,-10.462157502819142,0.0
0.71,5,5,1,0,5,225264,-10.362249831122583,0.09990767169655967
0.71,6,3,0,1,0,225280,-10.400351939053001,0.06180556376614099
0.71,7,4,5,1,1,225264,-10.36224983112276,0.09990767169638204
0.71,8,5,4,1,2,225264,-10.36224983112272,0.0999076716964229
0.71,9,0,3,1,3,225280,-10.400351939053063,0.06180556376607882
0.71,10,1,2,1,4,225264,-10.362249831123165,0.09990767169597703
0.71,11,2,1,1,5,225264,-10.362249831123094,0.09990767169604808
0.72,0,0,0,0,0,225592,-10.463762023725149,0.006956792882371943
0.72,1,1,5,0,1,225264,-10.374808525096809,0.0959102915107124
0.72,2,2,4,0,2,225570,-10.470718816607167,3.5349501104064984e-13
0.72,3,3,3,0,3,225280,-10.410647352219225,0.06007146438829558
0.72,4,4,2,0,4,225570,-10.470718816607521,0.0
0.72,5,5,1,0,5,225264,-10.374808525096304,0.09591029151121688
0.72,6,3,0,1,0,225280,-10.410647352218954,0.060071464388567364
0.72,7,4,5,1,1,225264,-10.37480852509656,0.09591029151096109
0.72,8,5,4,1,2,225264,-10.374808525096745,0.09591029151077635
0.72,9,0,3,1,3,225280,-10.410647352218955,0.06007146438856559
0.72,10,1,2,1,4,225264,-10.374808525097363,0.09591029151015817
0.72,11,2,1,1,5,225264,-10.374808525097023,0.09591029151049746
0.73,0,0,0,0,0,225592,-10.473841096104584,0.006229425599350691
0.73,1,1,5,0,1,225264,-10.388431995377443,0.09163852632649139
0.73,2,2,4,0,2,225570,-10.48007052170369,2.4513724383723456e-13
0.73,3,3,3,0,3,225280,-10.421817682590692,0.058252839113242416
0.73,4,4,2,0,4,225570,-10.480070521703935,0.0
0.73,5,5,1,0,5,225264,-10.388431995377644,0.09163852632629066
0.73,6,3,0,1,0,225280,-10.42181768259045,0.058252839113484
0.73,7,4,5,1,1,225264,-10.388431995377355,0.0916385263265802
0.73,8,5,4,1,2,225264,-10.388431995377747,0.09163852632618763
0.73,9,0,3,1,3,225280,-10.42181768259032,0.05825283911361545
0.73,10,1,2,1,4,225264,-10.388431995377202,0.09163852632673297
0.73,11,2,1,1,5,225264,-10.388431995377733,0.09163852632620184
0.74,0,0,0,0,0,225592,-10.485589390848135,0.004625843465612789
0.74,1,1,5,0,1,225264,-10.403101432102119,0.08711380221162912
0.74,2,2,4,0,2,225570,-10.490215234313666,8.171241461241152e-14
0.74,3,3,3,0,3,225280,-10.433866218879823,0.05634901543392523
0.74,4,4,2,0,4,225570,-10.490215234313748,0.0
0.74,5,5,1,0,5,225264,-10.403101432102057,0.0871138022116913
0.74,6,3,0,1,0,225280,-10.433866218879546,0.05634901543420234
0.74,7,4,5,1,1,225264,-10.403101432101948,0.08711380221179965
0.74,8,5,4,1,2,225264,-10.403101432102261,0.08711380221148701
0.74,9,0,3,1,3,225280,-10.433866218879155,0.05634901543459314
0.74,10,1,2,1,4,225264,-10.403101432102284,0.08711380221146392
0.74,11,2,1,1,5,225264,-10.403101432102222,0.08711380221152609
